Name,Student_ID,DateTime,Score,Total_Questions
Shailendra Dhakad,1234,2025-10-08 10:36:05,9,10
Kapur Mehta,9124,2025-10-08 11:42:01,10,10
Aman Dhakad,9001,2025-10-08 21:23:11,8,10
Aman Dhakad,9001,2025-10-08 21:40:09,7,10
Karan Reddy,9002,2025-10-09 14:23:49,10,10
Karan Reddy,9002,2025-10-10 15:41:28,10,10
Aashish,5673,2025-10-16 14:48:24,2,10
karan,8491,2025-10-17 14:58:55,10,10
Raman,1003,2025-10-22 21:04:59,8,10
Raman,1003,2025-10-22 21:05:17,8,10
Raman,1003,2025-10-22 21:05:25,8,10
Aman Dhakad,9001,2025-10-22 21:13:04,9,10
Rahul,1007,2025-10-28 12:00:21,8,10
